titles,reviews,ratings
"
Worst service provided by Amazon Don't buy this.
","
Please , Don't buy this product ""samsung galaxy M13"" specially from Amazon.This product I have purchased from Amazon, I faced the problem  .....The mobile is being hanged continuously and after inserting the sim the network is not showing........This problem I have discussed with customer care and first of all I wanted to return this product and I wanted to take my refund back but the thing is what they started a process like to send the technician to delivery address and after that the technician called that and we told him to visit our address and he forced not to come on delivery address. According to technician he said he will resolved the issue on call.....one application we installed that he want for testing purpose after that he sent screen-shot on my personal mobile number in that he had selected hardware issue and said that now you can return the product. But the main thing is I am unable to return this because there is no option available for this ...I tried to call the technician again, he is not recieving my call....so called customer care again....... we talked with customer care and what they said we will send the technician again...but we want our refund back but they forced me to send the technician again and repeat the process again.....But why should I do this process again this is not our fault.....I want my refund back.This product I had purchased for my mother and I have faced this problem.I request you all please don't buy this mobile or any mobile from Amazon... You can all face the same problem as we have faced....In logo paiso ki koi kadar nahi he. Ek person mehnat krk paisa kamata he or ye logo haram ki khane ki padi he.Kl se inke kisi family member ko gift de rahe he or problem ho ink sath bhi....tb inko pta padega.Meri batdua he in sbko ink sath isse bhi worst hona chahiye.....inka paisa or kisi chiz me nikalna chahiye.IF YOU WANT TO THIS PRODUCT OR ANY OTHER PRODUCT I RECOMMEND TO GO TO  THE GOOD MOBILE SHOP AND PURCHASE IT.....DON'T PUT YOURSELF IN THIS TRAP.Thank you
",1
"
Not up to the standard
","
ordered on 12/10/2022 compared to old Samsung, its not up to that quality and standard. exactly 2 months, on 19/12/2022 display not working, no physical damage, no rough use, no water or liquid entry, suddenly not working, but touch working, can answer calls. not recommended at all.
",1
"
We are ditched
","
Very poor Quality phone has been sent to us . Just in a span of 10 days it start hanging and switch off abruptly . I contact Amazon for this , i got a reply that it's not Amazon liability , just contact samsung , I wish to ask that have i bought this phone from Samsung or Amazon ? who is responsible for sending such a defective set phone ?I need my money back on this phone .
",1
"
DON'T BUY THIS PHONE
","
Bought it after seeing 4 star ratings and good! Reviews. But these days all these high ratings are fraud in India atleast. This phone is an example. Only two months after purchase display hangs and hangs and hangs despite deleting videos, apps and caches. This phone doesn't have screen mirroring facility.  Taking screenshots too could've been easier. Total disappointment and unworthy of money. DON'T PURCHASE.
",1
"
Too slow processor
","
I want this product for normal use.....But the Exynos processor is too slow unable to use the phone properly from day 1 ....I have to report an error to the care for the optimization of the phone.... But their reply is to run the Test.Hence, Facing the same problem even after run a test.
",1
"
Not worth the hype and money - Samsung should look at the design quality of M13
","
I had to replace the phone since it was stopping while playing videos and the touch wasn't working. I got a replacement phone and it has the same problems though touch is slightly better. The video playing either won't stop even if you push back button or will keep stopping intermittently as if buffering even with a 100MBps wifi or mobile data. I had to repair by broken Redmi with no option left and it work wonders.I suggest people can skip this phone for a better one. Samsung should look at the design quality of M13
",1
"
The M series phone have software .
","
The M aeries range software are damaged. Samsung offline store sales person said that Samsung has compromised with quality to give features at this price . The M series phone have software defect.  Paccessing internet and need to restart again &again. The Samsung store person said that no offline store is selling M series due to manufacturing defect.
",1
"
Bad display. Contacts app is very pathetic
","
Display is way way way pathetic and dull. No contrasts...gives a feel that oil is spilled over screen. Phone needs to be operated at very high brightness settings.If you have saved a contact without adding+91 which generally is the case... it's not showing the name of saved contact because you have not saved +91 in your contact details.This kind of problem I am facing for the first time in any phone.Even non smart phones worth rs 2000k will show the name of contact if the main 10 digits are correct.This phone is not displaying contact just because you have saved  0 in place of +91 or just saved the 10 digits....
",1
"
Don't waste your money in this phone.
","
Don't waste your money on this phone. Forget about any app installation. Phone is not working with the pre-installed app. Even I have uninstalled few pre-installed app still phone hanged and not working as a normal phone. I have to restart multiple times for a normal operation. Phone is too slow to operate and full of junks. Phone got hanged if you open the settings. So don't waste your time and money on this phone.
",1
"
Worst mobile
","
The samsung and Amazon both fooled people.This is the first time I have tried to return a mobile and had worst experience with Amazon.Key Issues with mobile: Quickly device getting hot. Very much irritated during calls Battery drainage quicklyWorst Amazon support When I reached the CS support, they asked me to wait for a technical agent visit.  But the assigned technical agent left Amazon for more than year and I ended up co-ordinating with  CS support and that person.Again the next person avoided a personal visit and put me on a Minspect app and verified for few min. (Worst app at all and they promised for a personal visit but ended up on-call check)Again after a new call to the support team, they have agreed for a refund and asked me to update my pan card. But Again a new CS person refused that policy 🙄 🤔I don't know whether the intention of CS support is yo solve customer query or to time pass with us to feel irritated
",1
